"Name","Publisher","Path","SignatureStatus","SignatureSigner","Origin","AssociatedProcess","FileExists","MaxCpuPercentInPreviousSample","MaxWorkingSetMBInPreviousSample","MaxDiskReadMBsInPreviousSample","MaxDiskWriteMBsInPreviousSample","ProbableUse","Classification","IdentificationConfidence"
"Epson Stylus Office B1100","SEIKO EPSON CORPORATION","C:\WINDOWS\system32\spool\DRIVERS\x64\3\E_IATIFEE.EXE","NotSigned",,"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","E_IATIFEE","True",,,,,"supporto hardware/driver","facoltativo","80"
"EPSDNMON","Seiko Epson Corporation","C:\Program Files (x86)\Epson Software\Download Navigator\EPSDNMON.EXE","Valid","CN=SEIKO EPSON CORPORATION, OU=Information Service & Support Department, O=SEIKO EPSON CORPORATION, L=Suwa-Shi, S=Nagano, C=JP","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","EPSDNMON","True",,,,,"da verificare manualmente","sconosciuto","80"
"Steam","Valve Corporation","C:\Program Files (x86)\Steam\steam.exe","Valid","CN=Valve Corp., O=Valve Corp., L=Bellevue, S=Washington, C=US","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","steam","True",,,,,"da verificare manualmente","facoltativo","80"
"HPSEU_Host_Launcher","HP Inc.","C:\Program Files\HP\HP System Event Utility\Host Launcher\HpseuHostLauncher.exe","Valid","CN=HP Inc., O=HP Inc., L=Palo Alto, S=California, C=US","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","HpseuHostLauncher","True",,,,,"supporto hardware/driver","facoltativo","80"
"Teams",,"C:\Users\<UTENTE>\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe",,,"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Teams","False",,,,,"da verificare manualmente","facoltativo","45"
"MicrosoftEdgeAutoLaunch_87A37FA9BD70D69005E01E2E40A0B61C","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","msedge","True",,,,,"da verificare manualmente","facoltativo","80"
"SecurityHealth","Microsoft Corporation","C:\WINDOWS\system32\SecurityHealthSystray.exe","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealthSystray","True",,,,,"da verificare manualmente","probabilmente utile","80"
"RtkAudUService","Realtek Semiconductor","C:\WINDOWS\System32\RtkAudUService64.exe","Valid","CN=Microsoft Windows Hardware Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","RtkAudUService64","True",,,,,"da verificare manualmente","probabilmente utile","80"
"IAStorIcon","Intel Corporation","C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIconLaunch.exe","NotSigned",,"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","IAStorIconLaunch","True",,,,,"supporto hardware/driver","probabilmente utile","80"
"EzTiltPenSrvc","ELAN","C:\Program Files\ELAN\EzTiltPen\EzTiltPenAgent.exe","NotSigned",,"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","EzTiltPenAgent","True",,,,,"da verificare manualmente","sconosciuto","80"
"HPSEU_Host_Launcher",,"C:\System.sav\util\HpseuHostLauncher.exe",,,"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","HpseuHostLauncher","False",,,,,"supporto hardware/driver","facoltativo","45"
"CDAServer","","C:\Program Files\Common Files\Common Desktop Agent\CDASrv.exe","Valid","CN=""Samsung Electronics CO., LTD."", OU=Digital ID Class 3 - Microsoft Software Validation v2, O=""Samsung Electronics CO., LTD."", L=Suwon, S=Kyungki-Do, C=KR","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","CDASrv","True",,,,,"da verificare manualmente","sconosciuto","80"
"iTunesHelper","Apple Inc.","C:\Program Files\iTunes\iTunesHelper.exe","Valid","CN=Apple Inc., O=Apple Inc., L=Cupertino, S=California, C=US","HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","iTunesHelper","True",,,,,"da verificare manualmente","facoltativo","80"
"msedge_cleanup_{F3017226-FE2A-4295-8BDF-00C3A9A7E4C5}","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150.0.4078.83\Installer\setup.exe","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","setup","True",,,,,"da verificare manualmente","facoltativo","80"
"msedge_cleanup_{56EB18F8-B008-4CBD-B6D2-8C97FE7E9062}","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application\150.0.4078.99\Installer\setup.exe","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","setup","True",,,,,"da verificare manualmente","facoltativo","80"
"RemoteWebControl","","C:\Program Files (x86)\RemoteWebControl\RemoteWebControlService.exe","Valid","CN=""HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO.,LTD."", OU=IT, O=""HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO.,LTD."", L=杭州, S=浙江, C=CN, SERIALNUMBER=91330000733796106P, OID.<IP>=Private Organization, OID.<IP>.<IP>.2.1.2=Zhejiang, OID.<IP>.<IP>.2.1.3=CN","HKLM:\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","RemoteWebControlService","True",,,,,"da verificare manualmente","probabilmente utile","80"
"Lightshot","","C:\Program Files (x86)\Skillbrains\lightshot\Lightshot.exe","Valid","CN=Kilonova LLC, O=Kilonova LLC, L=Seattle, S=Washington, C=US","HKLM:\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","Lightshot","True",,,,,"da verificare manualmente","sconosciuto","80"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
"",,,,,"","","False",,,,,"da verificare manualmente","sconosciuto","20"
