"Origine","Nome","Comando"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Epson Stylus Office B1100","C:\WINDOWS\system32\spool\DRIVERS\x64\3\E_IATIFEE.EXE /FU ""C:\Users\<UTENTE>\AppData\Local\Temp\E_SFA3E.tmp"" /EF ""HKCU"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","EPSDNMON","""C:\Program Files (x86)\Epson Software\Download Navigator\EPSDNMON.EXE"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Steam","""C:\Program Files (x86)\Steam\steam.exe"" -silent"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","HPSEU_Host_Launcher","C:\Program Files\HP\HP System Event Utility\Host Launcher\HpseuHostLauncher.exe"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Teams","""C:\Users\<UTENTE>\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftEdgeAutoLaunch_87A37FA9BD70D69005E01E2E40A0B61C","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --win-session-start"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","RtkAudUService","""C:\WINDOWS\System32\RtkAudUService64.exe"" -background"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","IAStorIcon","""C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIconLaunch.exe"" ""C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe"" 60"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","EzTiltPenSrvc","C:\Program Files\ELAN\EzTiltPen\EzTiltPenAgent.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","HPSEU_Host_Launcher","C:\System.sav\util\HpseuHostLauncher.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","CDAServer","C:\Program Files\Common Files\Common Desktop Agent\CDASrv.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","iTunesHelper","""C:\Program Files\iTunes\iTunesHelper.exe"""
"HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","msedge_cleanup_{F3017226-FE2A-4295-8BDF-00C3A9A7E4C5}","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150.0.4078.83\Installer\setup.exe"" --msedgewebview --delete-old-versions --system-level --verbose-logging --on-logon"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","msedge_cleanup_{56EB18F8-B008-4CBD-B6D2-8C97FE7E9062}","""C:\Program Files (x86)\Microsoft\Edge\Application\150.0.4078.99\Installer\setup.exe"" --msedge --channel=stable --delete-old-versions --system-level --verbose-logging --on-logon"
"HKLM:\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","RemoteWebControl","C:\Program Files (x86)\RemoteWebControl\RemoteWebControlService.exe"
"HKLM:\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Run","Lightshot","C:\Program Files (x86)\Skillbrains\lightshot\Lightshot.exe"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
