"DataOra","Comando","Risultato","Errore","PrivilegiAmministrativiRichiesti"
"2026-07-26T13:44:16","Get-CimInstance Win32_ComputerSystem","OK","","False"
"2026-07-26T13:44:16","Get-CimInstance Win32_OperatingSystem","OK","","False"
"2026-07-26T13:44:16","Get-CimInstance Win32_BIOS","OK","","False"
"2026-07-26T13:44:16","Get-CimInstance Win32_BaseBoard","OK","","False"
"2026-07-26T13:44:16","Get-CimInstance Win32_Processor","OK","","False"
"2026-07-26T13:44:17","Get-CimInstance Win32_PhysicalMemory","OK","","False"
"2026-07-26T13:44:17","Get-CimInstance Win32_VideoController","OK","","False"
"2026-07-26T13:44:18","Get-CimInstance Win32_DiskDrive","OK","","False"
"2026-07-26T13:44:18","Get-PhysicalDisk","OK","","False"
"2026-07-26T13:44:18","Get-CimInstance Win32_LogicalDisk -Filter ""DriveType=3""","OK","","False"
"2026-07-26T13:44:18","Get-CimInstance MSFT_PhysicalDisk -Namespace root/Microsoft/Windows/Storage","OK","","False"
"2026-07-26T13:44:19","Get-CimInstance Win32_PageFileUsage; Get-CimInstance Win32_PageFileSetting","OK","","False"
"2026-07-26T13:44:19","powercfg /getactivescheme","OK","","False"
"2026-07-26T13:44:19","fsutil behavior query DisableDeleteNotify","OK","","False"
"2026-07-26T13:44:19","Get-NetAdapter | Where-Object Status -eq Up","OK","","False"
"2026-07-26T13:44:19","Get-HotFix | Sort-Object InstalledOn -Descending | Select-Object -First 20","OK","","False"
"2026-07-26T13:44:20","Get-CimInstance -Namespace root/SecurityCenter2 -ClassName AntiVirusProduct","OK","","False"
"2026-07-26T13:44:20","Test-Path registry pending reboot keys","OK","","False"
"2026-07-26T13:44:20","Get-ItemProperty HKCU/HKLM Run keys","OK","","False"
"2026-07-26T13:44:20","Get-CimInstance Win32_StartupCommand","OK","","False"
"2026-07-26T13:44:20","Get-ScheduledTask filtered by Boot/Logon triggers","OK","","False"
"2026-07-26T13:44:21","Get-CimInstance Win32_Service | Where StartMode=Auto","OK","","False"
"2026-07-26T13:44:21","Misurazione prestazioni per 75 secondi a intervalli di 5 secondi via CIM/Get-Process","OK","","False"
"2026-07-26T13:46:33","Get-WinEvent System/Application last 7 days, filtered severity/source/id text","OK","","False"
"2026-07-26T13:46:36","WindowsPrincipal.IsInRole(Administrator)","OK","","False"
