"Timestamp","CpuPercent","CpuMhz","MemTotalMB","MemFreeMB","MemUsedMB","MemUsedPercent","CommitUsedMB","CommitLimitMB","PageFilePercent","DiskPercentTime","DiskQueueLength","DiskAvgReadMs","DiskAvgWriteMs","DiskReadMBs","DiskWriteMBs","ProcessCount","RunningServiceCount"
"2026-07-26T13:44:21","14","1792","16173,74","3201","12972,74","80,21","24744,57","41773,74","6","0","0","0","0","0","0","327","158"
"2026-07-26T13:44:30","5","1792","16173,74","3201,22","12972,52","80,21","24731,71","41773,74","6","4","0","0","0","0,06","0,24","327","158"
"2026-07-26T13:44:38","9","1792","16173,74","3318,68","12855,06","79,48","24724,32","41773,74","6","1","0","0","0","0,06","0,19","327","158"
"2026-07-26T13:44:46","3","1792","16173,74","3320,17","12853,57","79,47","24722,98","41773,74","6","1","0","0","0","0,3","1,26","327","158"
"2026-07-26T13:44:55","7","1792","16173,74","3310,94","12862,8","79,53","24727,54","41773,74","6","1","0","0","0","0,06","0,25","328","158"
"2026-07-26T13:45:03","3","1792","16173,74","3308,85","12864,89","79,54","24730,46","41773,74","6","3","0","0","0","0,06","0,22","328","158"
"2026-07-26T13:45:11","7","1792","16173,74","3312,13","12861,61","79,52","24720,88","41773,74","6","1","0","0","0","0,06","0,16","328","158"
"2026-07-26T13:45:19","2","1792","16173,74","3350,74","12823","79,28","24680,75","41773,74","6","2","0","0","0","0,18","0,3","326","158"
"2026-07-26T13:45:27","9","1792","16173,74","3349,89","12823,84","79,29","24678,49","41773,74","6","0","0","0","0","0","0,12","325","157"
"2026-07-26T13:45:36","6","1792","16173,74","3349,86","12823,88","79,29","24680,88","41773,74","6","3","0","0","0","0","0,06","325","157"
"2026-07-26T13:45:44","0","1792","16173,74","3349,72","12824,02","79,29","24681,97","41773,74","6","5","0","0","0","0,18","0,31","325","157"
"2026-07-26T13:45:52","6","1792","16173,74","3289,18","12884,56","79,66","24671,19","41773,74","6","3","0","0","0","0","0,43","324","157"
"2026-07-26T13:46:00","2","1792","16173,74","3393,55","12780,18","79,02","24695,64","41773,74","6","0","0","0","0","0","0,28","326","159"
"2026-07-26T13:46:13","3","1792","16173,74","3309,15","12864,59","79,54","24724,35","41773,74","6","0","0","0","0","0","0","327","159"
"2026-07-26T13:46:22","19","1792","16173,74","3312,68","12861,06","79,52","24712,91","41773,74","6","1","0","0","0","0","0,03","325","158"
"2026-07-26T13:46:30","4","1792","16173,74","3325,45","12848,29","79,44","24714,52","41773,74","6","0","1","0","0","0","0,01","325","158"
