exercise_id,ymove_exercise_id,nome,gruppo_muscolare,attrezzatura,filename_previsto
b591df0d-f681-4ca5-86b1-7ca13a594205,0a3889f4-1d3e-401a-b966-76e3f3aeff74,Criss-Cross,abs,mat,ymove-0a3889f4-1d3e-401a-b966-76e3f3aeff74.png
ba32282d-bb64-40d6-a40a-b17326bc0439,20c81369-14ad-4959-a6d0-f651c013f3f0,Double Leg Stretch,abs,mat,ymove-20c81369-14ad-4959-a6d0-f651c013f3f0.png
a7d6adf7-9924-496e-95b0-f21d84fe6dc1,71304f37-af11-4c9f-aa53-ef04cbc9bb29,Dumbbell Side Bend,abs,dumbbell,ymove-71304f37-af11-4c9f-aa53-ef04cbc9bb29.png
a659e746-3528-49d0-9807-41ff98a8cd5c,109f6115-f03d-48da-802a-2e2aa385678d,Back Extension - Hyperextension,back,machine,ymove-109f6115-f03d-48da-802a-2e2aa385678d.png
65c1b360-af01-43b5-88fa-41da784d0a75,2fb79823-a759-4ceb-8b16-a26ab3cfb440,Barbell Deadlift,back,barbell,ymove-2fb79823-a759-4ceb-8b16-a26ab3cfb440.png
dbc5917a-99a9-4a5e-90b0-5c2e30670e20,dbf6a8e4-19dc-4d01-8014-f195a1eb817c,Barbell Rows,back,barbell,ymove-dbf6a8e4-19dc-4d01-8014-f195a1eb817c.png
16d51fef-a972-4e36-adfc-8803e3c8a330,ab1681a6-93a1-4e51-ac8c-c76f02ef3737,Behind the Neck Rope Pulldown,back,cable,ymove-ab1681a6-93a1-4e51-ac8c-c76f02ef3737.png
41cc10f0-7dc8-412b-a6db-a4b6104163bb,059690e8-f60d-4099-b3ae-93d18358a59a,Bent Over Barbell Row,back,barbell,ymove-059690e8-f60d-4099-b3ae-93d18358a59a.png
6056fa62-8615-4600-8522-bbe9518a0b94,6e4be416-7097-4301-bfb9-f62bc69f1fa7,Bent Over Barbell Row Overhand Grip,back,barbell,ymove-6e4be416-7097-4301-bfb9-f62bc69f1fa7.png
311b925f-744e-4bb0-829e-8c420d411332,716ba91e-0ab4-4f1f-bbd9-dd06e25e0da6,Bent Over Barbell Row Underhand Grip,back,barbell,ymove-716ba91e-0ab4-4f1f-bbd9-dd06e25e0da6.png
cfa97f92-4171-4f80-9b72-b43833dc4020,43c81170-5fc1-46dd-92b0-6a308c22cec1,Bent Over One-Arm Long Bar Row,back,barbell,ymove-43c81170-5fc1-46dd-92b0-6a308c22cec1.png
fbb8940e-1785-416b-9e3d-68c677cac2c1,ad8e32a3-091a-4b10-a316-8984807ce817,Bent Over Two-Arm Long Bar Row - 105,back,barbell,ymove-ad8e32a3-091a-4b10-a316-8984807ce817.png
b6a0a436-367b-4cb5-a5a3-f58a03d45028,7aaad2c1-c499-40dd-84e5-a66b910e6f8b,Bent Over Two-Dumbbell Row With Palms In,back,dumbbell,ymove-7aaad2c1-c499-40dd-84e5-a66b910e6f8b.png
dbf0c846-add4-414b-abfd-5324ca68e714,4c799907-a832-42b2-b9b3-bfb75a68c840,Bow pose,back,bodyweight,ymove-4c799907-a832-42b2-b9b3-bfb75a68c840.png
0761d49f-973b-472a-8b7b-a0eae879f535,b4824ea0-4d0a-418e-b22d-462b11dc9992,Cable Rope Pullover,back,cable,ymove-b4824ea0-4d0a-418e-b22d-462b11dc9992.png
d9a1f929-03d3-4d32-b501-69e0ec4367e0,7a3e1ef1-c6d4-4e06-84a5-44168e1f15bc,Cable Seated Row straight bar,back,cable,ymove-7a3e1ef1-c6d4-4e06-84a5-44168e1f15bc.png
986e0fe0-eb0c-4fa7-9505-3c63790d8d62,1aac7a76-7ffb-4277-9a5f-ad25c315b2db,Cable Straight Arm Pulldown bar,back,cable,ymove-1aac7a76-7ffb-4277-9a5f-ad25c315b2db.png
80f609f4-9f6b-4b70-a071-b6adaa4540b0,cb06c2a3-ef02-4e60-b9ab-7d692fa97bc4,Camel pose,back,bodyweight,ymove-cb06c2a3-ef02-4e60-b9ab-7d692fa97bc4.png
bb0a228e-d2ee-434d-ade3-023c0da53406,675fab33-9f21-4386-8a43-a319d0684841,Cat cow pose,back,bodyweight,ymove-675fab33-9f21-4386-8a43-a319d0684841.png
f27ee8bd-5d3b-4a85-802c-93d211679b92,8e75c181-9db4-4e20-8fa7-be744f820f95,Cat pose,back,bodyweight,ymove-8e75c181-9db4-4e20-8fa7-be744f820f95.png
a6f9d2f8-4210-41ed-ae34-1a28081bb477,a6d1285b-5ae1-4646-b10b-5522e937a4a6,Chest Supported Barbell Row,back,barbell,ymove-a6d1285b-5ae1-4646-b10b-5522e937a4a6.png
6a62983b-7ad2-49f7-aea4-4e12d205236f,926f4125-2676-45a8-96ee-2b6ace422494,Chest Supported Row Machine,back,machine,ymove-926f4125-2676-45a8-96ee-2b6ace422494.png
009e33ca-3928-4a16-981e-f28a0206693a,2248c45e-bf19-4c70-9fcc-d828d3e5fea2,Chest Supported Row T-bar,back,machine,ymove-2248c45e-bf19-4c70-9fcc-d828d3e5fea2.png
dd061625-bb62-463d-8dc0-215330c21c14,a61479a9-fc68-4b4b-9e4d-2f65cd41defa,Child's pose,back,bodyweight,ymove-a61479a9-fc68-4b4b-9e4d-2f65cd41defa.png
dc4339c1-8340-4dc2-8843-695e35356545,10a31695-e218-4819-b7d3-b67b1b5ac79d,Close Grip Lat Pulldown,back,cable,ymove-10a31695-e218-4819-b7d3-b67b1b5ac79d.png
127835ae-4c79-4718-9822-0e7012c6a27f,1e99855d-fbf5-433e-9273-6f4e318a6ffe,Close Grip Lat Pulldown,back,cable,ymove-1e99855d-fbf5-433e-9273-6f4e318a6ffe.png
05cb1324-67e8-454a-a485-bf4a253b2143,a02b83af-37e2-4eea-b4cb-4fccac596e8b,Close Grip Lat Pulldown (V-Bar),back,cable,ymove-a02b83af-37e2-4eea-b4cb-4fccac596e8b.png
2e2426c2-0ab2-4b85-9d82-3d62ca4f61d7,5ce18079-7df5-48e0-828e-63005b8eb3d1,Close Grip Lat Pulldown to Waist,back,cable,ymove-5ce18079-7df5-48e0-828e-63005b8eb3d1.png
763e1c73-bb75-4062-b34c-56abb71f8c7a,1e381fba-eedc-410c-ba1f-1c9c255f4d0f,Cobra pose,back,bodyweight,ymove-1e381fba-eedc-410c-ba1f-1c9c255f4d0f.png
b5dc6676-3493-4e76-a05f-bc95c70583a3,3d8fe08e-93ba-49ac-b5f9-92dbac0d39b2,Cow pose,back,bodyweight,ymove-3d8fe08e-93ba-49ac-b5f9-92dbac0d39b2.png
e089523c-18dd-4ba5-9db9-35277233445c,fcc15585-b472-487f-8367-7459ee909832,Dips on bench,back,bodyweight,ymove-fcc15585-b472-487f-8367-7459ee909832.png
690b87e3-c9e7-479d-bd5c-6aa023dc9ebe,6d1c2a4d-870c-42c0-b798-aabc9a78308b,Double kettlebell row,back,kettlebell,ymove-6d1c2a4d-870c-42c0-b798-aabc9a78308b.png
