ymove_exercise_id,nome,filename_immagine_locale,confidence
0a3889f4-1d3e-401a-b966-76e3f3aeff74,Criss-Cross,,no_match
20c81369-14ad-4959-a6d0-f651c013f3f0,Double Leg Stretch,,no_match
71304f37-af11-4c9f-aa53-ef04cbc9bb29,Dumbbell Side Bend,,no_match
109f6115-f03d-48da-802a-2e2aa385678d,Back Extension - Hyperextension,lombari-hyperextension.png,exact
2fb79823-a759-4ceb-8b16-a26ab3cfb440,Barbell Deadlift,gambe-stacco-rumeno.png,close
dbf6a8e4-19dc-4d01-8014-f195a1eb817c,Barbell Rows,dorso-rematore-bilanciere.png,exact
ab1681a6-93a1-4e51-ac8c-c76f02ef3737,Behind the Neck Rope Pulldown,dorso-lat-machine-avanti.png,close
059690e8-f60d-4099-b3ae-93d18358a59a,Bent Over Barbell Row,dorso-rematore-bilanciere.png,exact
6e4be416-7097-4301-bfb9-f62bc69f1fa7,Bent Over Barbell Row Overhand Grip,dorso-rematore-bilanciere.png,close
716ba91e-0ab4-4f1f-bbd9-dd06e25e0da6,Bent Over Barbell Row Underhand Grip,dorso-rematore-bilanciere.png,close
43c81170-5fc1-46dd-92b0-6a308c22cec1,Bent Over One-Arm Long Bar Row,dorso-rematore-bilanciere.png,close
ad8e32a3-091a-4b10-a316-8984807ce817,Bent Over Two-Arm Long Bar Row - 105,dorso-rematore-bilanciere.png,close
7aaad2c1-c499-40dd-84e5-a66b910e6f8b,Bent Over Two-Dumbbell Row With Palms In,dorso-rematore-manubrio.png,close
4c799907-a832-42b2-b9b3-bfb75a68c840,Bow pose,,no_match
b4824ea0-4d0a-418e-b22d-462b11dc9992,Cable Rope Pullover,dorso-pullover-cavo.png,exact
7a3e1ef1-c6d4-4e06-84a5-44168e1f15bc,Cable Seated Row straight bar,dorso-pulley-basso.png,exact
1aac7a76-7ffb-4277-9a5f-ad25c315b2db,Cable Straight Arm Pulldown bar,dorso-pullover-cavo.png,close
cb06c2a3-ef02-4e60-b9ab-7d692fa97bc4,Camel pose,,no_match
675fab33-9f21-4386-8a43-a319d0684841,Cat cow pose,mobilita-cat-cow.png,exact
8e75c181-9db4-4e20-8fa7-be744f820f95,Cat pose,mobilita-cat-cow.png,close
a6d1285b-5ae1-4646-b10b-5522e937a4a6,Chest Supported Barbell Row,dorso-rematore-bilanciere.png,close
926f4125-2676-45a8-96ee-2b6ace422494,Chest Supported Row Machine,dorso-rematore-macchina.png,exact
2248c45e-bf19-4c70-9fcc-d828d3e5fea2,Chest Supported Row T-bar,dorso-rematore-macchina.png,close
a61479a9-fc68-4b4b-9e4d-2f65cd41defa,Child's pose,,no_match
10a31695-e218-4819-b7d3-b67b1b5ac79d,Close Grip Lat Pulldown,dorso-lat-machine-neutra.png,exact
1e99855d-fbf5-433e-9273-6f4e318a6ffe,Close Grip Lat Pulldown,dorso-lat-machine-neutra.png,exact
a02b83af-37e2-4eea-b4cb-4fccac596e8b,Close Grip Lat Pulldown (V-Bar),dorso-lat-machine-neutra.png,exact
5ce18079-7df5-48e0-828e-63005b8eb3d1,Close Grip Lat Pulldown to Waist,dorso-lat-machine-neutra.png,close
1e381fba-eedc-410c-ba1f-1c9c255f4d0f,Cobra pose,,no_match
3d8fe08e-93ba-49ac-b5f9-92dbac0d39b2,Cow pose,mobilita-cat-cow.png,close
fcc15585-b472-487f-8367-7459ee909832,Dips on bench,tricipiti-dip-ginocchia-piegate.png,close
6d1c2a4d-870c-42c0-b798-aabc9a78308b,Double kettlebell row,dorso-rematore-manubrio.png,close
b96131da-b1ba-4495-b8fb-c6107517ee2f,Dual Cable Lat Pulldown,dorso-lat-machine-avanti.png,close
204c969e-37a0-44b2-a4db-d82f27eadb46,Dumbbell Gorilla Row,dorso-rematore-manubrio.png,close
ac7982bb-1a81-4870-ae78-ce37bb485601,Dumbbell One-Arm Upright Row (L),,no_match
bda6ae04-2619-43a7-8261-490d85444eb2,Dumbbell One-Arm Upright Row (R),,no_match
b5869e95-3109-43ad-b7b5-34e6dad882f0,Dumbbell plank row,,no_match
dbaed692-a239-426b-ad64-3e0da09c7d92,Dumbbell Renegade Row,,no_match
e91bd54f-f605-491d-90e6-16515787389c,Dumbbell Row two arm bent over,dorso-rematore-manubrio.png,close
b150868d-c9c5-4f0f-a407-93d7e34b6ddc,Dumbbell Shrug,,no_match
fef72790-359f-4f3f-9fcd-a80fb2c63b5f,Dumbbell Single leg deadlift,gambe-stacco-rumeno.png,close
5058baec-15c8-4278-afa5-9621bb4e15b5,Alternating Dumbbell Curl,bicipiti-curl-alternato.png,exact
71cd3500-6a12-4ad9-b9c4-5b4c20f33deb,Barbell Curl 21s,bicipiti-curl-bilanciere.png,close
1158c681-55e9-4db0-bb73-3dab32d99aa5,Barbell Curls,bicipiti-curl-bilanciere.png,exact
fc721ada-0004-40d7-9e1e-634dc9b34877,Behind the Head Curl with Cable,bicipiti-curl-cavo.png,close
5e751b08-c767-4a40-8ef7-62d271995c86,Cable Bicep Curl bar,bicipiti-curl-cavo.png,exact
f03c074c-398c-4c33-abd9-980ec883fdbd,Cable Bicep Curl rope,bicipiti-curl-cavo.png,close
ca7a2f9d-3af1-40cd-a33f-431f437a2902,Cable Preacher Curl,bicipiti-preacher-curl.png,close
22880d49-67f2-4f14-9510-046c32da166b,Concentration Curl,bicipiti-curl-manubri.png,close
372da9df-3ee6-450c-ae97-743968d27d71,Concentration Hammer Curl,bicipiti-curl-martello.png,close
b8fb88dc-d819-4e65-86c8-7ea13703afdb,Cross Body Hammer Curl,bicipiti-curl-martello.png,close
57c79553-d2e3-41e9-97d5-3fe8c0d59fe9,Dumbbell Bicep Curl seated incline,bicipiti-curl-panca-inclinata.png,exact
f34b7615-bfcc-4cd4-88f7-d7c68e910fe9,Dumbbell Bicep Curl Standing,bicipiti-curl-manubri.png,exact
a921697a-e1ec-4941-bffd-f99e69b305b4,Dumbbell Concentration Curl,bicipiti-curl-manubri.png,close
6ffb0130-cbe5-4395-b86b-2a2c31be79b8,Dumbbell Curl,bicipiti-curl-manubri.png,exact
3175c898-09fe-4d02-82c2-de2a3834fdd4,Dumbbell waiter curls,bicipiti-curl-manubri.png,close
5a86b7dd-04a3-47fc-b92d-910f61b184c6,EZ Bar Curl,bicipiti-curl-bilanciere.png,close
79084f10-c317-4c40-ae0c-45d0b760298d,Bench Dips,tricipiti-dip-ginocchia-piegate.png,close
b771f714-b1dc-49f8-8df5-9f8ae35bbbae,Bird Dog,lombari-bird-dog.png,exact
ea7d466a-ecd9-4fcb-9a52-53716b513417,Chin-Up (Underhand),dorso-trazioni.png,close
ea1016da-2d73-4ff8-ad2a-9b36150d2f85,Dead Bug,core-dead-bug.png,exact
ffef6f38-6074-43b9-9256-2edc78dcf698,Deficit Calf Raise,gambe-calf-raise.png,close
b958f3b6-db0c-492a-8895-445af0989161,Elevated Calf Raises,gambe-calf-raise.png,close
548f86e7-ee60-46ce-a482-c2b1c16e4441,Forward Lunges (Bodyweight),gambe-affondi.png,exact
b78e6b13-cc46-49d6-a205-f71b65e6090e,EZ Bar Reverse Curl,bicipiti-curl-bilanciere.png,close
b853fd08-4739-4239-a825-8c31826d54ba,Barbell calf raises,gambe-calf-raise.png,close
8577f8c3-283b-472b-b5cf-d0eaa8e84762,Calf gas peddlers,,no_match
6a20f987-50aa-4023-9d0a-723759a24d55,Calf Raise Intervals,gambe-calf-raise.png,close
43946d04-02aa-4dc8-9a67-3cb759440c22,Calf Raises,gambe-calf-raise.png,close
90924318-0ca7-46ec-9e87-36b80e02196f,Calf stretch (left),,no_match
5ce9ef64-7527-4321-997b-1d1bc071f91a,Calf stretch (right),,no_match
eda711dc-d4c5-49e6-b323-d8180e41a871,Dumbbel calf raises,gambe-calf-raise.png,close
18dda540-eca8-40ad-aca4-9e5f80f574d7,Forward Backward Hop over Cone,,no_match
4d4779ae-ab3c-4f3b-8c9f-566a23c80437,Back Shuffle,,no_match
d06c3d04-aeb4-4b94-9a43-24e95201239c,Archer push up,petto-push-up.png,close
52fb4e42-549e-4af2-a83d-f0c6c76f38ae,Armpit Opener,,no_match
69b5e89d-e2d4-4e9a-8ab7-4c28cff1f3e1,Barbell Bench Press,petto-panca-piana.png,exact
de7f1e4f-cb03-446d-b768-4a93baae1ab2,Barbell Incline Bench Press - Medium Grip,petto-panca-inclinata.png,exact
c4d91f02-e796-4992-a08d-531b1d4bb16b,Bear crawl shoulder tap to pike push up,,no_match
accf9858-fd32-4f43-aa4d-0bd0f53d7498,Bear crawl to pike push up,,no_match
58d0fe05-1a66-4b80-a6d8-2dc2f0d73169,Bench Press,petto-panca-piana.png,exact
3adef0aa-9687-4cd0-acf6-410c9fa4ba76,Cable Crossover (Mid),petto-croci-cavi.png,exact
9ddd0baa-fa4b-4f5a-8dd4-3a68dc557563,Cable Fly - High to Low,petto-croci-cavi.png,close
aa3d8f09-8870-4ec1-aada-7760020dfeaa,Cable Fly Low to High,petto-croci-cavi.png,close
55bd4c71-78c6-49bd-aaaa-8c03b7528342,Chameleon push up,petto-push-up.png,close
a97c208e-1c40-4410-b51a-a86e5cc37a04,Chameleon push up to mountain climbers,,no_match
ee4ec1d3-6f4c-42bf-b338-ac175213a4e7,Chest Press Machine flat,petto-chest-press.png,exact
4668a912-ef55-4b3e-8d9c-53359d6aba29,Close Grip Dumbbell Press,petto-panca-piana-manubri.png,close
d18679b0-3ce0-409b-9955-584976544f45,Close Grip Incline Dumbbell Press,petto-panca-inclinata-manubri.png,close
10d2c91e-60e8-416d-8c91-def45954009c,Close Grip Plate Press,,no_match
f67b5c4a-a959-4b13-933e-633d4faeab95,Deadstop push up,petto-push-up.png,close
e8a79472-7809-42d4-89cc-c3c351d86982,Deadstop push up into superman crunches,,no_match
76741ca2-8960-4323-a495-c595291e3c56,Deadstop push ups,petto-push-up.png,close
b9e7733d-fbba-413a-98d9-71803ae1edb4,Deadstop pushup to superman crunch,,no_match
8796655f-6390-4ae1-a143-1fe6cde817cb,Decline Chest Press Machine,petto-chest-press.png,close
4c5c90fd-01a3-45f6-a952-712743be9c81,Decline Close Grip Dumbbell Press,petto-panca-piana-manubri.png,close
e2db8bfd-34b1-451a-853d-b2e483b5844d,Decline Dumbbell Press,petto-panca-piana-manubri.png,close
426861d9-64ac-40f6-bf3e-f7ebc05ba6af,Decline Push Up,petto-push-up.png,close
8bbcc469-9283-4776-a12c-882060dd396c,Declined Push up - 56,petto-push-up.png,close
2930d41f-177c-4f36-bd91-4867afb85a3b,Dips,petto-dips-petto.png,exact
60ec7728-577b-4dea-a5e9-4b8ac16b6038,Dips - Triceps Version,tricipiti-dip-tricipiti.png,close
3add251e-6e58-4f80-902c-ab32e0b61966,Dips on bench 2,tricipiti-dip-ginocchia-piegate.png,close
cfa3229b-10a2-42cd-bdf0-4fa80ce51fd3,Drop dead push up into knee in,,no_match
a0395420-b67f-4ddd-965d-30d4a489f489,Dumbbell Bench Press,petto-panca-piana-manubri.png,exact
097903be-beaa-4283-9493-19eb90b59762,Dumbbell deltoid fly,petto-croci-manubri.png,close
9696321a-6d49-4d1b-a42d-08fb34bb8323,Dumbbell floor chest press,petto-panca-piana-manubri.png,close
82eabf60-6d7a-4930-b8be-29f1f737d345,Dumbbell floor press,petto-panca-piana-manubri.png,close
97f48a58-e7a9-4179-88e2-f1a16feb68ca,Dumbbell fly,petto-croci-manubri.png,exact
c60450d9-862c-4dd3-87b1-82f80349964d,Dumbbell fly - v2,petto-croci-manubri.png,exact
f6d6ac54-751d-416e-8c9d-bc4b675cd505,Dumbbell Pullover,dorso-pullover-cavo.png,close
