external_exercise_id,title,primary_muscles,secondary_muscles,equipment,movement_pattern,body_position,difficulty,sanitized_metadata
005ba868-d8b1-499f-9a88-b2cf722e6bdf,Figure Four Stretch (R),[full_body],[],[bodyweight],NULL,NULL,beginner,map[category:Full Body difficulty:beginner equipment:[bodyweight] exerciseTypes:[stretching mobility] slug:figure-four-stretch-r]
0087bb08-f325-4401-9b37-66dd93871570,High Cable Curl,[biceps],[],[cable],elbow_flexion,NULL,intermediate,map[category:Arms difficulty:intermediate equipment:[cable] exerciseTypes:[strength] slug:high-cable-curl]
00a92c05-9865-489d-8495-a8f72af802a6,Incline Machine Press,[chest],[],[machine],NULL,NULL,beginner,map[category:Chest difficulty:beginner equipment:[machine] exerciseTypes:[strength] slug:incline-machine-press]
00c1f017-3a36-4a42-8866-fda39f906f5d,Seated Side Bends,[neck],[upper_traps sternocleidomastoid],[],NULL,NULL,beginner,map[category:stretching difficulty:beginner equipment:[chair] exerciseTypes:[stretching mobility] slug:seated-side-bends-502d85]
00cfe51b-59a3-4d61-b712-61ae99c1ca57,Hanging Scapular Pull,[bodyweight],[],[bodyweight],NULL,NULL,NULL,map[category:<nil> difficulty:<nil> equipment:[bodyweight] exerciseTypes:[calisthenics strength] slug:hanging-scapular-pull-73920c]
01924d84-4c88-4476-b0dc-8fd92616b362,Dumbbell upper cuts,[full_body],[],[dumbbell],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength cardio] slug:dumbbell-upper-cuts]
022ea5f2-88f3-4d42-b99d-c1026d6bc343,Explosive sprinter lunge (left),[quads],[],[bodyweight],knee_dominant,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[bodyweight] exerciseTypes:[plyometric cardio] slug:explosive-sprinter-lunge-left]
028fd0e4-baf8-4633-9891-20613bdea1e8,Jump knee tucks,[full_body],[],[bodyweight],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[bodyweight] exerciseTypes:[plyometric cardio] slug:jump-knee-tucks]
032ca17e-2678-46e4-baac-b7ef43c283e9,Standing Dumbbell Triceps Extension,[triceps],[],[dumbbell],elbow_extension,NULL,intermediate,map[category:Arms difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:standing-dumbbell-triceps-extension]
033964cc-ed58-4fe3-8850-cf78c66a85b9,Hip hinge,[hamstrings],[spinal_erectors obliques quadriceps],[bodyweight],NULL,NULL,beginner,map[category:mobility difficulty:beginner equipment:[bodyweight] exerciseTypes:[functional mobility strength] slug:hip-hinge-d90a01]
037a9f51-9b02-4404-979a-6ad18f62fc9d,Overhead Cable Curl,[biceps],[brachialis brachioradialis forearm_flexors],[cable],elbow_flexion,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[cable] exerciseTypes:[strength] slug:overhead-cable-curl-09be90]
03be228e-9483-470b-ad6c-cdf3d43f7415,Double Box Single Leg Lateral Hop,[quads],[core adductors tibialis_anterior],[],NULL,NULL,advanced,map[category:plyometric difficulty:advanced equipment:[box] exerciseTypes:[plyometric cardio balance] slug:double-box-single-leg-lateral-hop-1e51c0]
