external_exercise_id,ymove_title,proposed_italian_name,approved_italian_name,researched_italian_name,translation_status,semantic_review_status,research_status,source_confidence
4c55ca15-3665-4db7-b11d-7d4273263f66,1 Leg Broad Jump,1 Leg Broad Jump,NULL,Salto in lungo monopodalico,review_required,LINK_EXISTING_VERIFIED,LINK_EXISTING_VERIFIED,80
ecf8bc6c-e7c9-4dcb-949a-e04f6e0c93bb,1 Leg Lateral Broad Jump,1 Leg Lateral Broad Jump,NULL,Balzo laterale monopodalico,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,65
c2fbe7d4-e9a5-41f8-b8eb-d903948d268b,1 Leg Left Right Hop over Cone,1 Leg Left Right Hop over Cone,Salto laterale sopra il cono su una gamba sola,Salti laterali monopodalici sopra il cono,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,78
4a816d4c-e7b1-4e18-823f-64d0c4eee38b,4 Square Drill,4 Square Drill,Esercizio dei quattro quadrati,Drill dei quattro quadrati,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,70
71bf8e65-38ff-4145-b42c-341c8d574b59,8 Count Body Builder,8 Count Body Builder,NULL,Body builder in 8 tempi,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,76
3620635f-3fcb-4552-8959-dc6ec09d9ea2,A steps,A steps,NULL,A-skip / A steps,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,45
ee79ed25-3455-4730-acd9-5173de6085c9,Ab Bridge Complex,Ab Bridge Complex,NULL,NULL,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,30
7a94a32f-40d9-42eb-b03d-afe76c71ea36,Alternating Side Reaches,Alternating Side Reaches,NULL,NULL,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,35
9acaf8fd-1e81-4106-8d86-921b013f36c0,Arch Skydiver,Arch Skydiver,NULL,Skydiver prono in estensione,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,42
d06c3d04-aeb4-4b94-9a43-24e95201239c,Archer push up,Archer push up,NULL,Archer push up,review_required,REVIEW_POSSIBLE_MATCH,REVIEW_POSSIBLE_MATCH,75
5ba69aaa-7f7a-4564-940e-c6fb7da55c26,Arm swings,Arm swings,NULL,Slanci dinamici delle braccia,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,62
52fb4e42-549e-4af2-a83d-f0c6c76f38ae,Armpit Opener,Armpit Opener,NULL,Apertura ascelle e petto,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,45
109f6115-f03d-48da-802a-2e2aa385678d,Back Extension - Hyperextension,Back Extension - Hyperextension,NULL,Iperestensioni lombari alla panca romana,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,82
4061bcd4-25a4-48ce-abbe-765986eb91e5,Back Extension on Ball,Back Extension on Ball,NULL,Estensioni lombari su fitball,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,82
4d4779ae-ab3c-4f3b-8c9f-566a23c80437,Back Shuffle,Back Shuffle,NULL,Shuffle all'indietro,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,68
854b33d7-6d88-4a67-a5d5-4e7e2983b140,back stretch,back stretch,NULL,Allungamento della schiena,review_required,RESEARCH_REQUIRED,RESEARCH_REQUIRED,35
80b6b175-77a8-48ac-9a09-495d114d88ef,Backward lunges,Backward lunges,NULL,Affondi indietro,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,82
fa45710a-ee56-4648-811c-5eeaaeaff098,Band Leg press,Band Leg press,NULL,Leg press con elastico,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,65
1dda1f16-d715-4a4f-a12b-d75b7dca81e7,Banded Lateral Walks,Banded Lateral Walks,NULL,Camminata laterale con elastico,review_required,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,70
9a68f965-4e58-4b5b-87d5-c44929dd1f39,Banded squat,Banded squat,Squat con elastico,NULL,review_required,NULL,NULL,NULL
a64ffb04-76a7-431a-a9a5-6addeab61813,Barbell Ab Rollout,Con bilanciere Ab Rollout,Ab Rollout con bilanciere,Ab rollout con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,90
31a0d4f4-2ad8-4f51-b47f-e7dc05e787f3,Barbell Ab Rollout - On Knees,Con bilanciere Ab Rollout - On Knees,Ab rollout in ginocchio con bilanciere,Ab rollout in ginocchio con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,90
65e95132-e6bb-41e8-af7d-0eda931a1693,Barbell Back Squat,Con bilanciere Back Squat,Back Squat con bilanciere,Back squat con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,85
69b5e89d-e2d4-4e9a-8ab7-4c28cff1f3e1,Barbell Bench Press,Con bilanciere Panca press,NULL,NULL,generated,NULL,NULL,NULL
d552a696-bf87-4bf7-9597-fa425d617874,Barbell Bench Press decline,Con bilanciere Panca press declinato,NULL,Panca declinata con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,75
b853fd08-4739-4239-a825-8c31826d54ba,Barbell calf raises,Con bilanciere calf raises,Calf raises con bilanciere,Calf raise in piedi con bilanciere,generated,REVIEW_POSSIBLE_MATCH,REVIEW_POSSIBLE_MATCH,85
71cd3500-6a12-4ad9-b9c4-5b4c20f33deb,Barbell Curl 21s,Con bilanciere Curl 21s,NULL,Curl 21 con bilanciere,generated,REVIEW_POSSIBLE_MATCH,REVIEW_POSSIBLE_MATCH,75
1158c681-55e9-4db0-bb73-3dab32d99aa5,Barbell Curls,Con bilanciere Curls,NULL,NULL,generated,NULL,NULL,NULL
2fb79823-a759-4ceb-8b16-a26ab3cfb440,Barbell Deadlift,Con bilanciere Deadlift,Stacco da terra con bilanciere,Stacco da terra con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,90
7d31d648-432b-4edd-97bc-afc2a3e9e59a,Barbell Deadlift,Con bilanciere Deadlift,Deadlift Con bilanciere,Stacco da terra con bilanciere,generated,EXCLUDE_EDITORIAL_DUPLICATE,EXCLUDE_EDITORIAL_DUPLICATE,90
069c1e6b-05f4-4390-a1c7-9b740e0bec4a,Barbell Front Raise,Con bilanciere Front Alzata,Alzate frontali con bilanciere,Alzate frontali con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,90
0e5f29cd-ff79-428a-bb1c-1753a9047f32,Barbell Full Squat,Con bilanciere Full Squat,Full Squat Con bilanciere,Squat completo con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,75
b43b051d-cd66-41c7-8772-f81797ce872c,Barbell Glute Bridge,Con bilanciere Glute Bridge,NULL,Glute bridge con bilanciere,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,75
74c36be0-d1e4-4703-8c54-612c2da1dcc1,Barbell Good Morning,Con bilanciere Good Morning,Buongiorno con bilanciere,Good morning con bilanciere,generated,LINK_EXISTING_VERIFIED,LINK_EXISTING_VERIFIED,85
5990deac-a91d-4531-8c2f-a708fc95fd1f,Barbell Hip Thrust,Con bilanciere Hip Thrust,NULL,NULL,generated,NULL,NULL,NULL
de7f1e4f-cb03-446d-b768-4a93baae1ab2,Barbell Incline Bench Press - Medium Grip,Con bilanciere inclinato Panca press - Medium Grip,NULL,Panca inclinata con bilanciere presa media,generated,CREATE_NEW_RESEARCHED,CREATE_NEW_RESEARCHED,75
