external_exercise_id,ymove_title,final_italian_name,approved_italian_name,researched_italian_name,intelligent_italian_name,translation_status,source_confidence
4c55ca15-3665-4db7-b11d-7d4273263f66,1 Leg Broad Jump,Salto in lungo monopodalico,,Salto in lungo monopodalico,Salto in lungo,review_required,80.0
ecf8bc6c-e7c9-4dcb-949a-e04f6e0c93bb,1 Leg Lateral Broad Jump,Balzo laterale monopodalico,,Balzo laterale monopodalico,laterale Salto in lungo,review_required,65.0
c2fbe7d4-e9a5-41f8-b8eb-d903948d268b,1 Leg Left Right Hop over Cone,Salto laterale sopra il cono su una gamba sola,Salto laterale sopra il cono su una gamba sola,Salti laterali monopodalici sopra il cono,Cono,review_required,78.0
4a816d4c-e7b1-4e18-823f-64d0c4eee38b,4 Square Drill,Esercizio dei quattro quadrati,Esercizio dei quattro quadrati,Drill dei quattro quadrati,Drill,review_required,70.0
71bf8e65-38ff-4145-b42c-341c8d574b59,8 Count Body Builder,Body builder in 8 tempi,,Body builder in 8 tempi,8 Count Body Builder,review_required,76.0
3620635f-3fcb-4552-8959-dc6ec09d9ea2,A steps,A-skip / A steps,,A-skip / A steps,A-skip,review_required,45.0
ee79ed25-3455-4730-acd9-5173de6085c9,Ab Bridge Complex,complesso Ponte,,,complesso Ponte,review_required,30.0
7a94a32f-40d9-42eb-b03d-afe76c71ea36,Alternating Side Reaches,Estensione laterale,,,Estensione laterale,review_required,35.0
9acaf8fd-1e81-4106-8d86-921b013f36c0,Arch Skydiver,Skydiver prono in estensione,,Skydiver prono in estensione,Superman,review_required,42.0
d06c3d04-aeb4-4b94-9a43-24e95201239c,Archer push up,Archer push up,,Archer push up,Push-up arciere,review_required,75.0
5ba69aaa-7f7a-4564-940e-c6fb7da55c26,Arm swings,Slanci dinamici delle braccia,,Slanci dinamici delle braccia,Arm swings,review_required,62.0
52fb4e42-549e-4af2-a83d-f0c6c76f38ae,Armpit Opener,Apertura ascelle e petto,,Apertura ascelle e petto,Armpit Opener,review_required,45.0
109f6115-f03d-48da-802a-2e2aa385678d,Back Extension - Hyperextension,Iperestensioni lombari alla panca romana,,Iperestensioni lombari alla panca romana,Iperestensione,review_required,82.0
4061bcd4-25a4-48ce-abbe-765986eb91e5,Back Extension on Ball,Estensioni lombari su fitball,,Estensioni lombari su fitball,su palla Estensione,review_required,82.0
4d4779ae-ab3c-4f3b-8c9f-566a23c80437,Back Shuffle,Shuffle all'indietro,,Shuffle all'indietro,Shuffle,review_required,68.0
854b33d7-6d88-4a67-a5d5-4e7e2983b140,back stretch,Allungamento della schiena,,Allungamento della schiena,Allungamento,review_required,35.0
80b6b175-77a8-48ac-9a09-495d114d88ef,Backward lunges,Affondi indietro,,Affondi indietro,Affondo,review_required,82.0
fa45710a-ee56-4648-811c-5eeaaeaff098,Band Leg press,Leg press con elastico,,Leg press con elastico,con elastico Pressa per gambe,review_required,65.0
1dda1f16-d715-4a4f-a12b-d75b7dca81e7,Banded Lateral Walks,Camminata laterale con elastico,,Camminata laterale con elastico,laterale con elastico Camminata,review_required,70.0
9a68f965-4e58-4b5b-87d5-c44929dd1f39,Banded squat,Squat con elastico,Squat con elastico,,con elastico Squat,review_required,
a64ffb04-76a7-431a-a9a5-6addeab61813,Barbell Ab Rollout,Ab Rollout con bilanciere,Ab Rollout con bilanciere,Ab rollout con bilanciere,Bilanciere Rotolamento,generated,90.0
31a0d4f4-2ad8-4f51-b47f-e7dc05e787f3,Barbell Ab Rollout - On Knees,Ab rollout in ginocchio con bilanciere,Ab rollout in ginocchio con bilanciere,Ab rollout in ginocchio con bilanciere,Bilanciere in ginocchio Rotolamento,generated,90.0
65e95132-e6bb-41e8-af7d-0eda931a1693,Barbell Back Squat,Back Squat con bilanciere,Back Squat con bilanciere,Back squat con bilanciere,Bilanciere Bilanciere,generated,85.0
69b5e89d-e2d4-4e9a-8ab7-4c28cff1f3e1,Barbell Bench Press,Bilanciere panca Panca,,,Bilanciere panca Panca,generated,
d552a696-bf87-4bf7-9597-fa425d617874,Barbell Bench Press decline,Panca declinata con bilanciere,,Panca declinata con bilanciere,Bilanciere declinato panca Panca,generated,75.0
b853fd08-4739-4239-a825-8c31826d54ba,Barbell calf raises,Calf raises con bilanciere,Calf raises con bilanciere,Calf raise in piedi con bilanciere,Bilanciere Bilanciere,generated,85.0
71cd3500-6a12-4ad9-b9c4-5b4c20f33deb,Barbell Curl 21s,Curl 21 con bilanciere,,Curl 21 con bilanciere,Bilanciere Bilanciere,generated,75.0
1158c681-55e9-4db0-bb73-3dab32d99aa5,Barbell Curls,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
2fb79823-a759-4ceb-8b16-a26ab3cfb440,Barbell Deadlift,Stacco da terra con bilanciere,Stacco da terra con bilanciere,Stacco da terra con bilanciere,Bilanciere Stacco da terra,generated,90.0
7d31d648-432b-4edd-97bc-afc2a3e9e59a,Barbell Deadlift,Deadlift Con bilanciere,Deadlift Con bilanciere,Stacco da terra con bilanciere,Bilanciere Stacco da terra,generated,90.0
069c1e6b-05f4-4390-a1c7-9b740e0bec4a,Barbell Front Raise,Alzate frontali con bilanciere,Alzate frontali con bilanciere,Alzate frontali con bilanciere,Bilanciere Alzata frontale,generated,90.0
0e5f29cd-ff79-428a-bb1c-1753a9047f32,Barbell Full Squat,Full Squat Con bilanciere,Full Squat Con bilanciere,Squat completo con bilanciere,Bilanciere Bilanciere,generated,75.0
b43b051d-cd66-41c7-8772-f81797ce872c,Barbell Glute Bridge,Glute bridge con bilanciere,,Glute bridge con bilanciere,Bilanciere Bilanciere,generated,75.0
74c36be0-d1e4-4703-8c54-612c2da1dcc1,Barbell Good Morning,Buongiorno con bilanciere,Buongiorno con bilanciere,Good morning con bilanciere,Bilanciere Good morning,generated,85.0
5990deac-a91d-4531-8c2f-a708fc95fd1f,Barbell Hip Thrust,Bilanciere Hip thrust,,,Bilanciere Hip thrust,generated,
de7f1e4f-cb03-446d-b768-4a93baae1ab2,Barbell Incline Bench Press - Medium Grip,Panca inclinata con bilanciere presa media,,Panca inclinata con bilanciere presa media,Bilanciere inclinato panca Panca,generated,75.0
714b176e-2963-43f0-ae0f-c71643cbe426,Barbell Lunge,Affondi con bilanciere,,Affondi con bilanciere,Bilanciere Bilanciere,generated,90.0
dd57e914-d0ef-4d6f-8724-d72f220b7422,Barbell Lunges,Affondi con bilanciere,,Affondi con bilanciere,Bilanciere Bilanciere,generated,86.0
c0bd82fb-5ad6-4390-a060-dd46c1a6bea2,Barbell Overhead Press,Overhead Press Con bilanciere,Overhead Press Con bilanciere,Lento avanti con bilanciere,Bilanciere Lento avanti,generated,80.0
f71ef5e3-8944-40df-b9ea-00a7b0e6c5cc,Barbell Push Press,Push Press Con bilanciere,Push Press Con bilanciere,Push press con bilanciere,Bilanciere Bilanciere,generated,85.0
be7a8c2a-db1b-405f-a61f-96f26c628c6c,Barbell Romanian Deadlift,Bilanciere Stacco da terra,,,Bilanciere Stacco da terra,generated,
dbf6a8e4-19dc-4d01-8014-f195a1eb817c,Barbell Rows,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
4e4377e1-ab91-4015-84ac-27b3274b549f,Barbell Shoulder Press -  Barbell Overhead Press - Barbell Military Press,Shoulder Press Con bilanciere  -  Overhead Press Con bilanciere  - Military Press Con bilanciere,Shoulder Press Con bilanciere  -  Overhead Press Con bilanciere  - Military Press Con bilanciere,Lento avanti con bilanciere,Bilanciere Lento avanti,generated,55.0
a363775e-2aa5-49cb-ac17-7aa137d5d47b,Barbell Shrug,Shrug Con bilanciere,Shrug Con bilanciere,Scrollate con bilanciere,Bilanciere Bilanciere,generated,85.0
709f2fe5-f590-401b-aa94-d5f6dc67165b,Barbell Sit-Up,Sit-Up Con bilanciere,Sit-Up Con bilanciere,Sit-up con bilanciere,Bilanciere Bilanciere,generated,76.0
d0a73aa8-dc45-49dd-951d-de4825a74ada,Barbell Skull Crushers,French press con bilanciere da sdraiato,,French press con bilanciere da sdraiato,Bilanciere Bilanciere,generated,88.0
1ffaf9e8-fe94-44e8-a20b-012ea58eba46,Barbell Sumo Squat,Sumo squat con bilanciere,,Sumo squat con bilanciere,Bilanciere Sumo Bilanciere,generated,86.0
c8f3362d-fb00-481e-b428-e0b17f4ae681,Barbell Sumo Squat,Sumo squat con bilanciere,,Sumo squat con bilanciere,Bilanciere Sumo Bilanciere,generated,90.0
6e9512fe-74b9-4c8a-bae2-a54361937b0e,Barbell Thruster - Straight Bar Thruster,Thruster con bilanciere,,Thruster con bilanciere,Bilanciere Bilanciere,generated,86.0
ae8be22d-584f-4c34-add8-d25383ba90de,Barbell walking lunges,Affondi camminati con bilanciere,,Affondi camminati con bilanciere,Bilanciere Bilanciere,generated,84.0
eb37d0a0-1a45-482c-9c6a-1aef9744661c,Barbell Wrist Curl,Curl dei polsi con bilanciere,,Curl dei polsi con bilanciere,Bilanciere Bilanciere,generated,88.0
47ab9d26-7959-46bb-9744-1e48695f5e70,Bear crawl into explosive jumps,Bear crawl con salto esplosivo,,Bear crawl con salto esplosivo,esplosivo Crawl,review_required,72.0
