"normalized_name","count","ids"
"curl al cavo","6","0087bb08-f325-4401-9b37-66dd93871570|037a9f51-9b02-4404-979a-6ad18f62fc9d|7cfe78ab-8d77-4142-8199-51d3f48b9430|9f3f94f9-275b-4c5c-bc97-0e5826023599|bfa76dd0-298b-4c70-b1fa-e662289d2ebe|ca7a2f9d-3af1-40cd-a33f-431f437a2902"
"tirata","2","00cfe51b-59a3-4d61-b712-61ae99c1ca57|6362bdab-a7d7-49e8-85ab-fe1eb610cb4e"
"esplosivo affondo","2","022ea5f2-88f3-4d42-b99d-c1026d6bc343|d5dff683-d9a5-42ca-b325-47f7275f7def"
"mountain climber","10","061b3246-322a-41ed-a589-73fb9478651c|3798bfae-4ad3-404c-969d-0eeb2fcbdd56|4dd34460-26de-41b4-ba9f-66bcf4ed8e63|6c8af30b-31f1-4c84-b394-b4293607cf4f|7a21c59b-ee5d-4f55-867f-31ca24c8003b|7ade83ba-d8c1-4947-aab0-8a15506c70e5|8085b2a3-fc64-478c-b93a-bf86dab46fc0|8735c2a0-5c44-4a2d-ba45-932ba4d372cd|a5d77dca-e151-4f73-aadb-890366fe8abf|a97c208e-1c40-4410-b51a-a86e5cc37a04"
"crunch","6","068d316f-52b0-4438-a7c9-ee21ceca2c2f|3bf0aada-8142-418e-8f7b-f506ecc63afb|4aa2b90d-e5da-47d6-abd5-4e1932324ed2|85d78505-04b8-4cf6-b277-c215eeb462a7|93e53831-f499-4d0b-b266-120445c24555|ed1451e4-ceef-4aa9-a883-24b733b83edd"
"seduta al muro","2","0790eb48-18ee-4bae-9c32-b8049dad767f|ba260d30-e576-4f0b-8d9b-c14df6d419ee"
"burpee","6","0a7821b6-c36b-4b5f-82b0-5c8ba765baae|909e8b98-9e33-4a45-8bfa-3b0d4a9cef56|aa60f379-a493-46d2-8e03-3ba2277f3e78|b126da42-0645-491c-83ae-e058822e074b|b160ea44-725a-415f-919a-4edad64d3ce3|c7dead12-7c46-4533-a0e9-dbc882cc498b"
"bear crawl","2","0df165d9-3c63-4506-a2f1-6f64544fda5d|214c3916-f02f-456f-9750-70fd0679295a"
"estensione","3","10014d85-339e-4573-876d-87b003c28671|2a4df469-77c8-4468-92cb-2003c90602dd|33869887-32ab-4c66-b033-3bef9e5de372"
"rematore al cavo","8","109aec41-eaeb-4963-908a-e53b560789ee|412c612e-1822-4a22-aa3c-2461fd23a211|5025051b-e58e-42aa-ae78-5a9b11ef129c|60fa33db-7a56-4a6d-88a5-22f98a252ae1|911577a1-55e3-4bf2-b7a0-6456422c3393|94b012da-2a8d-449c-8a25-80cc1b0a1ba7|c2595904-d93e-4807-a7fe-70019fce408f|e6c47dc5-3924-4b1d-a8ac-deb2ec1730aa"
"croci ai cavi","4","185e82b2-9e20-4021-aa84-65c564aca016|d237c00f-e6f3-44f0-953b-5db4c970f873|ec545ed7-4724-454a-b730-37a425e80080|f7122b18-1a1a-43a4-bb1c-76170240e7e8"
"sollevamento gambe","3","19a378bd-eec2-4950-b8f2-c4179ef28294|a97548ad-e559-4380-a6b0-50cc210031b2|af2d3f82-2917-4e21-8df6-7acaf5f78ad5"
"lat machine","2","1dfe9e16-f3bf-45c3-9536-b818c03d8bb8|6f53a194-8a37-42ec-87f1-2bfed82e9006"
"sumo squat con bilanciere","2","1ffaf9e8-fe94-44e8-a20b-012ea58eba46|c8f3362d-fb00-481e-b428-e0b17f4ae681"
"affondi camminati","4","21beb247-bf6f-41a7-b2d3-58c58d103ba0|620b30ac-bc0d-4b48-bec7-b685cf57f883|726c2b68-3da5-4dc7-a588-c8d3dd90d516|82bc1bbb-e706-4fb6-a02d-6e3948dd6343"
"step up a corpo libero","2","2ca49b40-d285-4dfe-8dba-f51448b46c0a|9898b03d-3337-4ea6-93d6-812d2004693b"
"stacco da terra con bilanciere","2","2fb79823-a759-4ceb-8b16-a26ab3cfb440|7d31d648-432b-4edd-97bc-afc2a3e9e59a"
"curl con manubri","9","3175c898-09fe-4d02-82c2-de2a3834fdd4|339d8f8f-18e3-452a-ae66-f2b098382a84|430ce933-5f38-44b9-8b43-810da4ec536e|5058baec-15c8-4278-afa5-9621bb4e15b5|6891aa71-6e1f-4ea4-b9ac-f38ea207216a|9a8e40b3-446f-4362-9df4-461931927889|a921697a-e1ec-4941-bffd-f99e69b305b4|f34b7615-bfcc-4cd4-88f7-d7c68e910fe9|f5aa2b23-405b-48a1-9538-302a41160cbd"
