"external_exercise_id","ymove_title","old_name","new_name","quality_score","validation_status","rejection_reasons","missing_technical_details"
"005ba868-d8b1-499f-9a88-b2cf722e6bdf","Figure Four Stretch (R)","Allungamento","","68","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"0087bb08-f325-4401-9b37-66dd93871570","High Cable Curl","Cavo Cavo","Curl al cavo","92","VALIDATED","",""
"00a92c05-9865-489d-8495-a8f72af802a6","Incline Machine Press","Machine inclinato Machine","","68","TECHNICAL_REVIEW","missing_main_movement",""
"00c1f017-3a36-4a42-8866-fda39f906f5d","Seated Side Bends","Seated Side Bends","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"00cfe51b-59a3-4d61-b712-61ae99c1ca57","Hanging Scapular Pull","Tirata","Tirata","92","VALIDATED","",""
"01924d84-4c88-4476-b0dc-8fd92616b362","Dumbbell upper cuts","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"022ea5f2-88f3-4d42-b99d-c1026d6bc343","Explosive sprinter lunge (left)","esplosivo Affondo","esplosivo Affondo","92","VALIDATED","",""
"028fd0e4-baf8-4633-9891-20613bdea1e8","Jump knee tucks","Salto","","68","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"032ca17e-2678-46e4-baac-b7ef43c283e9","Standing Dumbbell Triceps Extension","In piedi Manubrio Estensione","In piedi Manubrio Estensione","92","VALIDATED","",""
"033964cc-ed58-4fe3-8850-cf78c66a85b9","Hip hinge","Anca","","48","TECHNICAL_REVIEW","missing_main_movement",""
"037a9f51-9b02-4404-979a-6ad18f62fc9d","Overhead Cable Curl","Cavo Cavo","Curl al cavo","92","VALIDATED","",""
"03be228e-9483-470b-ad6c-cdf3d43f7415","Double Box Single Leg Lateral Hop","monopodalico laterale su rialzo Rimbalzo","monopodalico laterale su rialzo Rimbalzo","92","VALIDATED","",""
"044f938a-5772-4a0e-b39a-8a85393830e7","Tucked L-sit hold","Tucked L-sit hold","Tucked L-sit hold","96","VALIDATED","",""
"04fccb0f-58a7-44b2-8676-573faad17634","Pike hold knee bends","Pike hold knee bends","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"0501fca5-dd00-4948-8874-40cc851daaee","Explosive jump squats","esplosivo Squat","esplosivo Squat","92","VALIDATED","",""
"051a5802-da89-415d-a912-93162c89a4bf","Behind the Neck Shoulder Press Machine","Shoulder press alla macchina dietro la nuca","Shoulder press alla macchina dietro la nuca","92","VALIDATED","",""
"059690e8-f60d-4099-b3ae-93d18358a59a","Bent Over Barbell Row","Bilanciere Bilanciere","","60","TECHNICAL_REVIEW","lost_technical_details","bent over"
"05b2ec0e-92d4-4a93-bfed-c371747c072d","Fire Hydrant","Fire Hydrant","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"05c60c96-4b0d-4e83-8797-9e3eb9a9cab0","Halo with dumbbell (R)","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"061b3246-322a-41ed-a589-73fb9478651c","Side hurdel jumps to mountain climbers","Arrampicata montana","Mountain climber","96","VALIDATED","",""
"068d316f-52b0-4438-a7c9-ee21ceca2c2f","Crunches","Crunch","Crunch","92","VALIDATED","",""
"069c1e6b-05f4-4390-a1c7-9b740e0bec4a","Barbell Front Raise","Alzate frontali con bilanciere","Alzate frontali con bilanciere","92","VALIDATED","",""
"0790eb48-18ee-4bae-9c32-b8049dad767f","Wall Sits","Wall Sits","Seduta al muro","92","VALIDATED","",""
"07cd2836-405f-4b66-9b80-2d69b1fabb6a","Reverse push ups","Push-up","","72","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"0852e58d-42d4-4e7a-b612-a6d79e93e895","Half moon (right)","Half moon (right)","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"094f1299-cd52-4da7-b97f-c159208ed7d1","Incline Dumbbell Rear Delt Raise","Manubrio inclinato Manubrio","","44","TECHNICAL_REVIEW","repeated_or_equipment_only|missing_main_movement",""
"097903be-beaa-4283-9493-19eb90b59762","Dumbbell deltoid fly","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"0a095165-5eb4-4d96-a98e-d8374391f2cc","Seated EZ Bar Curl","Seduto Curl","","60","TECHNICAL_REVIEW","lost_technical_details","barbell"
"0a7821b6-c36b-4b5f-82b0-5c8ba765baae","Shot Caller Burpee","Burpee","Burpee","96","VALIDATED","",""
"0af648a1-1d2e-438b-b687-b522c9eaa8bd","Dumbbell shoulder punches","Manubrio Spalla","","68","TECHNICAL_REVIEW","missing_main_movement",""
"0b4d6477-e8d8-4ae1-aff6-d935a77b3fe1","Dumbbell Overhead Tricep Extension","Manubrio Estensione","Manubrio Estensione","92","VALIDATED","",""
"0b51bca9-c72f-4fc3-affd-0904de3cf8b4","Single Arm Smith Machine Row","Smith machine","","36","TECHNICAL_REVIEW","missing_main_movement|lost_technical_details","one arm"
"0b7c9826-2501-4938-a921-a6f62e66e890","Squat to toe taps","Squat","","68","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"0b7f1b84-6cb0-4875-824b-e86272668a2a","Knee raises (Hanging)","Alzata","","68","TECHNICAL_REVIEW","missing_main_movement",""
"0ba53212-9702-4b66-bb9d-d7b9fa12abf2","Inclined wide push up","Push-up","","40","TECHNICAL_REVIEW","too_generic_for_detailed_title|lost_technical_details","incline"
"0bc5f89b-dec0-483a-b98d-655998f8849d","Inchworm","Inchworm","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"0bc74c4c-d382-46a4-95a8-d6229062aaf1","inverted row","Remata","","36","TECHNICAL_REVIEW","missing_main_movement|lost_technical_details","barbell"
"0c46de9c-4a97-405c-9fa2-aec5f5da73f0","Seated Hammer Curl","Seduto Curl","","60","TECHNICAL_REVIEW","lost_technical_details","dumbbell"
"0d0368ee-f03d-4ef9-95db-06a56434ea55","Dumbbell Scissors","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
