external_exercise_id,ymove_title,final_italian_name,selected_source,quality_score,validation_status,rejection_reasons,missing_technical_details,approved_italian_name,researched_italian_name,intelligent_italian_name,translation_status,source_confidence
005ba868-d8b1-499f-9a88-b2cf722e6bdf,Figure Four Stretch (R),,,68,TECHNICAL_REVIEW,too_generic_for_detailed_title,,,,Allungamento,review_required,
0087bb08-f325-4401-9b37-66dd93871570,High Cable Curl,Curl al cavo,generated_rule,92,VALIDATED,,,,,Cavo Cavo,generated,
00a92c05-9865-489d-8495-a8f72af802a6,Incline Machine Press,,,68,TECHNICAL_REVIEW,missing_main_movement,,,,Machine inclinato Machine,generated,
00c1f017-3a36-4a42-8866-fda39f906f5d,Seated Side Bends,,,44,RESEARCH_REQUIRED,missing_main_movement|copied_english_title,,,,Seated Side Bends,generated,
00cfe51b-59a3-4d61-b712-61ae99c1ca57,Hanging Scapular Pull,Tirata,intelligent_italian_name,92,VALIDATED,,,,,Tirata,review_required,
01924d84-4c88-4476-b0dc-8fd92616b362,Dumbbell upper cuts,,,20,TECHNICAL_REVIEW,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,,,Manubrio Manubrio,generated,
022ea5f2-88f3-4d42-b99d-c1026d6bc343,Explosive sprinter lunge (left),esplosivo Affondo,intelligent_italian_name,92,VALIDATED,,,,,esplosivo Affondo,review_required,
028fd0e4-baf8-4633-9891-20613bdea1e8,Jump knee tucks,,,68,TECHNICAL_REVIEW,too_generic_for_detailed_title,,,,Salto,review_required,
032ca17e-2678-46e4-baac-b7ef43c283e9,Standing Dumbbell Triceps Extension,In piedi Manubrio Estensione,intelligent_italian_name,92,VALIDATED,,,,,In piedi Manubrio Estensione,generated,
033964cc-ed58-4fe3-8850-cf78c66a85b9,Hip hinge,,,48,TECHNICAL_REVIEW,missing_main_movement,,,,Anca,review_required,
037a9f51-9b02-4404-979a-6ad18f62fc9d,Overhead Cable Curl,Curl al cavo,generated_rule,92,VALIDATED,,,,,Cavo Cavo,generated,
