external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details,research_action
b853fd08-4739-4239-a825-8c31826d54ba,Barbell calf raises,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
74c36be0-d1e4-4703-8c54-612c2da1dcc1,Barbell Good Morning,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
a363775e-2aa5-49cb-ac17-7aa137d5d47b,Barbell Shrug,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
059690e8-f60d-4099-b3ae-93d18358a59a,Bent Over Barbell Row,,TECHNICAL_REVIEW,60,lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
de70b78c-7dec-4a91-acc7-d75ae27eb765,Bent Over Dumbbell Rear Delt Raise,,TECHNICAL_REVIEW,0,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement|lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
7ab0bece-90eb-45f1-9b22-3fd86c376aa1,Bent Over Dumbbell Reverse Fly,,TECHNICAL_REVIEW,0,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement|lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
c7c76fa8-908a-4ee0-977c-35f12057676d,Bent over Dumbbell Tricep Extension,,TECHNICAL_REVIEW,60,lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
7aaad2c1-c499-40dd-84e5-a66b910e6f8b,Bent Over Two-Dumbbell Row With Palms In,,TECHNICAL_REVIEW,60,lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
74a22260-8090-40b6-a13a-4d366c0d5fd6,Bulgarian split squat - with Barbell,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
d81d953b-b29d-438a-aeee-610523bca09d,Bulgarian split squat with Dumbbell,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
