external_exercise_id,ymove_title,final_italian_name,source_file_status,database_status,existing_exercise_id,existing_exercise_key,existing_link_status,incident_quarantine,duplicate_primary_external_id,proposed_staging_status,blocking_reason
044f938a-5772-4a0e-b39a-8a85393830e7,Tucked L-sit hold,Tucked L-sit hold,CREATE_NEW_VERIFIED,CREATE_NEW_READY,,,,,,CREATE_NEW_READY,
051a5802-da89-415d-a912-93162c89a4bf,Behind the Neck Shoulder Press Machine,Shoulder press alla macchina dietro la nuca,REVIEW_POSSIBLE_MATCH,REVIEW_REQUIRED,,,,,,REVIEW_REQUIRED,Candidato semanticamente non definitivo.
069c1e6b-05f4-4390-a1c7-9b740e0bec4a,Barbell Front Raise,Alzate frontali con bilanciere,LINK_EXISTING_VERIFIED,BLOCKED_INCIDENT_HIDDEN,2fe578b7-8cf8-42d5-98f8-95362ad6f5b4,uuid:2fe578b7-8cf8-42d5-98f8-95362ad6f5b4,removed,ymove_import_incident_2026_07_30_1531_utc,,BLOCKED_INCIDENT_HIDDEN,Esercizio dell’incidente già nascosto e link rimosso; non riattivare.
1158c681-55e9-4db0-bb73-3dab32d99aa5,Barbell Curls,Curl con bilanciere,LINK_EXISTING_VERIFIED,LINK_EXISTING_READY,,legacy:bicipiti-curl-bilanciere,,,,LINK_EXISTING_READY,
16916d8d-2bce-459a-a87f-fa511936260c,Seated Neutral Grip Cable Press,Seduto Cavo presa neutra Spinta,REVIEW_POSSIBLE_MATCH,REVIEW_REQUIRED,,,,,,REVIEW_REQUIRED,Candidato semanticamente non definitivo.
1c13173b-006e-4bfb-8f57-6c9403915e4d,T press up,Spinta,REVIEW_POSSIBLE_MATCH,REVIEW_REQUIRED,,,,,,REVIEW_REQUIRED,Candidato semanticamente non definitivo.
24030adc-de07-4547-a916-24acee3d5a3e,Burpee,Burpees,LINK_EXISTING_VERIFIED,LINK_EXISTING_READY,,legacy:cardio-burpees,,,,LINK_EXISTING_READY,
31a0d4f4-2ad8-4f51-b47f-e7dc05e787f3,Barbell Ab Rollout - On Knees,Ab rollout in ginocchio con bilanciere,CREATE_NEW_VERIFIED,ALREADY_IMPORTED_VALID,da5c5923-ea30-4034-9e7d-cf3cef002f9c,uuid:da5c5923-ea30-4034-9e7d-cf3cef002f9c,manual_approved,,,ALREADY_IMPORTED_VALID,
31acb39d-e5bd-47f6-8895-0d4a17ff2e67,Squat Pulse on Box,su rialzo Squat,REVIEW_POSSIBLE_MATCH,REVIEW_REQUIRED,,,,,,REVIEW_REQUIRED,Candidato semanticamente non definitivo.
3620635f-3fcb-4552-8959-dc6ec09d9ea2,A steps,A-skip / A steps,CREATE_NEW_VERIFIED,REVIEW_REQUIRED,,,,,,REVIEW_REQUIRED,Nome A-skip/A steps non sufficientemente italiano o verificato.
3730e7c4-d50d-4986-88ea-aba97ccf9b8c,Tucked L-sit hold (Hanging),Tucked L-sit hold (Hanging),CREATE_NEW_VERIFIED,CREATE_NEW_READY,,,,,,CREATE_NEW_READY,
